City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Pitimbu,BR,-7.4706,-34.8086,75.79,84,40,13.87,scattered clouds
170,Mar Del Plata,AR,-38.0023,-57.5575,56.08,95,100,4.61,mist
171,Teguldet,RU,57.3064,88.1667,78.84,52,12,2.24,few clouds
172,Villanueva De La Serena,ES,38.9766,-5.7974,78.1,19,0,1.57,clear sky
173,Banepa,NP,27.6298,85.5214,73.72,78,75,2.3,broken clouds
174,Lima,PE,-12.0432,-77.0282,61.9,84,100,13.8,light intensity drizzle
175,Brownwood,US,31.7093,-98.9912,88.92,57,0,4.61,clear sky
176,Tasiilaq,GL,65.6145,-37.6368,42.96,80,100,3.18,overcast clouds
177,Hanstholm,DK,57.1167,8.6167,55.67,70,12,22.57,few clouds
178,Mahebourg,MU,-20.4081,57.7,68.29,77,40,13.8,scattered clouds
179,Hilo,US,19.7297,-155.09,86.29,90,100,3.0,light rain
180,Nsoko,SZ,-27.0333,31.95,45.66,93,0,5.1,clear sky
181,Upernavik,GL,72.7868,-56.1549,39.2,87,15,5.41,few clouds
182,Albanel,CA,48.8832,-72.4487,50.14,87,25,4.61,scattered clouds
183,Alofi,NU,-19.0595,-169.9187,76.89,78,97,19.57,overcast clouds
184,Souillac,MU,-20.5167,57.5167,68.38,77,40,13.8,light rain
185,Pangai,TO,-19.8,-174.35,76.73,73,15,22.73,few clouds
186,Kaseda,JP,31.4167,130.3167,82.18,68,5,5.41,clear sky
187,Adrar,MR,20.5022,-10.0711,95.05,16,0,8.41,clear sky
188,Masuda,JP,34.6667,131.85,80.87,78,40,6.91,scattered clouds
189,Kruisfontein,ZA,-34.0033,24.7314,56.88,90,46,5.26,scattered clouds
190,Vao,NC,-22.6667,167.4833,76.33,76,97,18.86,overcast clouds
191,Korla,CN,41.7597,86.1469,87.17,11,75,5.77,broken clouds
192,Bengkulu,ID,-3.8004,102.2655,82.76,65,88,7.16,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,61.02,80,97,11.45,overcast clouds
194,Pacasmayo,PE,-7.4006,-79.5714,60.94,86,43,14.03,scattered clouds
195,Asau,RO,46.4333,26.4,63.95,84,95,2.53,overcast clouds
196,Iqaluit,CA,63.7506,-68.5145,37.13,93,20,6.91,few clouds
197,Nueve De Julio,AR,-35.4444,-60.8831,58.98,92,98,4.97,overcast clouds
198,Falmouth,GB,50.1544,-5.0711,61.7,77,0,8.05,clear sky
199,Cabra,ES,37.4725,-4.4421,75.65,35,0,4.25,clear sky
200,Alvand,IR,36.3187,49.1678,60.78,48,0,4.7,clear sky
201,Puri,IN,19.8,85.85,82.92,75,100,5.46,overcast clouds
202,Canguaretama,BR,-6.38,-35.1289,73.0,91,33,9.31,scattered clouds
203,Bonthe,SL,7.5264,-12.505,74.01,96,100,4.61,heavy intensity rain
204,Bowen,AU,-20.0167,148.2333,66.49,44,0,4.41,clear sky
205,Calama,CL,-22.4667,-68.9333,46.89,11,20,13.8,few clouds
206,Lae,PG,-6.7221,146.9847,86.67,66,72,8.5,broken clouds
207,Portland,US,45.5234,-122.6762,77.47,56,75,8.05,broken clouds
208,Christchurch,NZ,-43.5333,172.6333,46.9,68,100,10.36,overcast clouds
209,Kieta,PG,-6.2167,155.6333,85.19,63,54,8.08,broken clouds
210,Pakxan,LA,18.3778,103.6601,85.59,70,42,2.37,scattered clouds
211,Port Shepstone,ZA,-30.7414,30.455,61.63,43,0,5.95,clear sky
212,Sao Filipe,CV,14.8961,-24.4956,73.98,82,40,8.14,scattered clouds
213,Homer,US,59.6425,-151.5483,59.77,72,100,5.99,overcast clouds
214,Ugento,IT,39.9263,18.1574,68.47,70,0,15.59,clear sky
215,Beloha,MG,-25.1667,45.05,57.56,72,0,7.45,clear sky
216,Poplar Bluff,US,36.757,-90.3929,78.58,80,100,9.22,overcast clouds
217,Synya,RU,65.3718,58.0387,65.5,52,93,2.48,overcast clouds
218,Fare,PF,-16.7,-151.0167,78.17,72,82,20.38,broken clouds
219,Miyako,JP,39.6367,141.9525,74.95,79,98,5.26,overcast clouds
220,Juneau,US,58.3019,-134.4197,60.8,100,100,8.05,overcast clouds
221,Meadow Lake,US,34.8014,-106.5436,78.28,51,100,6.38,overcast clouds
222,Rocky Mountain House,CA,52.3668,-114.9188,62.51,82,62,2.46,broken clouds
223,Araouane,ML,18.9048,-3.5265,93.43,20,100,6.93,overcast clouds
224,Catania,IT,37.5021,15.0872,75.33,60,0,6.91,clear sky
225,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,light rain
226,Hobyo,SO,5.3505,48.5268,75.94,74,99,24.05,overcast clouds
227,Poya,NC,-21.35,165.15,82.42,64,100,7.99,overcast clouds
228,Leh,IN,34.1667,77.5833,62.82,54,49,5.46,scattered clouds
229,Hohhot,CN,40.8106,111.6522,79.09,36,0,4.47,clear sky
230,Kolkwitz,DE,51.75,14.25,56.01,78,99,3.0,overcast clouds
231,Port Hedland,AU,-20.3167,118.5667,75.25,15,0,14.97,clear sky
232,Abdanan,IR,32.9926,47.4198,83.86,21,0,6.87,clear sky
233,Pangnirtung,CA,66.1451,-65.7125,45.23,79,83,2.06,broken clouds
234,Myanaung,MM,18.2833,95.3167,80.94,82,100,5.95,overcast clouds
235,Prince Rupert,CA,54.3161,-130.3201,59.09,84,100,16.11,overcast clouds
236,Raga,SS,8.4596,25.678,68.41,96,100,2.93,light rain
237,Katsuura,JP,35.1333,140.3,78.53,81,93,11.65,overcast clouds
238,Mazagao,BR,-0.115,-51.2894,80.65,94,43,3.87,scattered clouds
239,Longonjo,AO,-12.9067,15.2533,54.12,45,30,1.19,scattered clouds
240,Clyde River,CA,70.4692,-68.5914,39.43,81,0,3.44,clear sky
241,Luoyang,CN,34.6836,112.4536,86.68,67,79,14.0,broken clouds
242,Qandala,SO,11.472,49.8728,85.89,50,96,18.57,overcast clouds
243,Beaumont,US,30.0861,-94.1019,87.78,78,0,9.22,clear sky
244,Garowe,SO,8.4054,48.4845,74.32,61,59,26.75,broken clouds
245,Robertsport,LR,6.7533,-11.3686,76.39,88,97,10.31,moderate rain
246,Esperance,AU,-33.8667,121.9,59.99,58,3,23.49,clear sky
247,Bad Wildbad,DE,48.75,8.55,61.41,96,66,2.89,broken clouds
248,Bemidji,US,47.4736,-94.8803,77.09,73,0,6.91,clear sky
249,Berlevag,NO,70.8578,29.0864,55.35,76,100,0.0,overcast clouds
250,Yerbogachen,RU,61.2767,108.0108,69.75,40,4,5.1,clear sky
251,Rio Grande,BR,-32.035,-52.0986,59.95,91,96,12.91,overcast clouds
252,Bafra,TR,41.5678,35.9069,72.82,80,40,5.7,moderate rain
253,Yulara,AU,-25.2406,130.9889,58.71,30,0,10.65,clear sky
254,Diu,IN,20.7141,70.9822,81.5,81,100,17.16,overcast clouds
255,Urumqi,CN,43.801,87.6005,72.55,41,0,4.47,clear sky
256,Srednekolymsk,RU,67.45,153.6833,62.26,38,49,3.67,scattered clouds
257,New Norfolk,AU,-42.7826,147.0587,53.1,75,3,1.01,clear sky
258,Chhindwara,IN,22.0667,78.9333,80.37,74,75,8.59,broken clouds
259,Harrison,US,30.4091,-89.0436,87.87,81,0,6.91,clear sky
260,Ancud,CL,-41.8697,-73.8203,45.23,88,99,11.92,light rain
261,El Jicaro,GT,14.9167,-89.9,74.1,95,14,3.36,few clouds
262,Muravlenko,RU,63.7898,74.523,67.46,55,11,2.19,few clouds
263,Keflavik,IS,64.0049,-22.5624,50.86,100,100,18.41,mist
264,Ratnagiri,IN,16.9833,73.3,79.95,84,100,18.95,light rain
265,Ribeira Grande,PT,38.5167,-28.7,67.75,77,46,9.51,scattered clouds
266,Fairbanks,US,64.8378,-147.7164,71.6,56,100,0.0,haze
267,Edd,ER,13.9297,41.6925,89.71,56,100,4.38,overcast clouds
268,Harnosand,SE,62.6323,17.9379,53.01,91,100,13.6,overcast clouds
269,Lokoja,NG,7.8024,6.743,73.45,95,100,2.75,overcast clouds
270,Auki,SB,-8.7676,160.7034,85.62,62,17,3.2,few clouds
271,Coihaique,CL,-45.5752,-72.0662,33.75,100,100,4.61,mist
272,Havre,FR,49.5833,0.3333,56.97,94,0,6.91,clear sky
273,Soyo,AO,-6.1349,12.3689,69.89,85,95,7.36,overcast clouds
274,Ilheus,BR,-14.7889,-39.0494,69.3,88,54,5.39,broken clouds
275,Hualmay,PE,-11.0964,-77.6139,61.59,85,61,8.86,broken clouds
276,Saint-Augustin,CA,51.226,-58.6502,52.18,88,100,11.23,overcast clouds
277,Airai,TL,-8.9266,125.4092,68.0,67,77,3.98,broken clouds
278,Westport,US,41.1415,-73.3579,73.9,75,0,4.61,clear sky
279,Yarkovo,RU,57.4028,67.0786,73.15,65,66,2.71,broken clouds
280,Oktyabrskoye,RU,43.0645,44.7417,57.34,100,0,4.47,clear sky
281,Cherskiy,RU,68.75,161.3,52.07,48,62,11.12,broken clouds
282,Tagusao,PH,9.1924,117.8141,81.25,80,100,5.21,overcast clouds
283,Bubaque,GW,11.2833,-15.8333,80.31,84,100,13.11,light rain
284,Bantou,CN,26.2151,117.4893,95.23,52,34,3.38,scattered clouds
285,Iquique,CL,-20.2208,-70.1431,60.84,73,98,3.8,overcast clouds
286,Tokur,RU,53.1333,132.9,61.65,94,100,2.42,overcast clouds
287,Troitsk,RU,54.0979,61.5773,70.84,69,96,2.17,overcast clouds
