City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Mahebourg,MU,2022-06-28 06:06:24,-20.4081,57.7,74.25,64,78,19.75
141,Gat,IL,2022-06-28 06:03:04,31.61,34.7642,83.39,100,2,4.38
142,Amuntai,ID,2022-06-28 06:06:24,-2.4177,115.2494,80.02,91,88,1.79
143,Berdigestyakh,RU,2022-06-28 06:06:24,62.0989,126.6992,62.15,68,100,6.93
144,East London,ZA,2022-06-28 06:06:25,-33.0153,27.9116,56.71,40,0,6.2
145,Moron,AR,2022-06-28 06:06:25,-34.6534,-58.6198,51.55,80,100,5.61
146,Arroyo,ES,2022-06-28 06:06:25,41.6096,-4.7969,50.59,85,0,5.75
147,Salalah,OM,2022-06-28 06:06:25,17.0151,54.0924,82.29,86,100,11.5
148,Rawson,AR,2022-06-28 06:06:26,-43.3002,-65.1023,45.43,66,100,9.6
149,Lavrentiya,RU,2022-06-28 06:06:26,65.5833,-171.0,44.49,92,100,11.18
150,Bahia Honda,CU,2022-06-28 06:06:26,22.9036,-83.1592,76.19,85,74,3.33
151,Grobina,LV,2022-06-28 06:06:27,56.5352,21.1678,78.58,61,0,3.44
152,Gweta,BW,2022-06-28 06:06:27,-20.1833,25.2333,55.06,68,85,16.98
153,Audru,EE,2022-06-28 06:06:27,58.4086,24.3739,78.85,65,75,5.75
154,Broken Hill,AU,2022-06-28 06:06:28,-31.95,141.4333,55.72,37,0,4.85
155,Tshikapa,CD,2022-06-28 06:06:28,-6.4167,20.8,68.76,42,48,3.74
156,Klyuchi,RU,2022-06-28 06:06:28,52.2667,79.1667,68.94,40,32,11.14
157,Thompson,CA,2022-06-28 06:06:28,55.7435,-97.8558,42.57,79,64,5.66
158,Ribeira Grande,PT,2022-06-28 06:06:29,38.5167,-28.7,64.6,82,56,8.23
159,Tabou,CI,2022-06-28 06:06:29,4.423,-7.3528,77.29,82,100,7.07
160,Aanekoski,FI,2022-06-28 06:06:29,62.6946,25.818,71.85,91,26,8.9
161,Takoradi,GH,2022-06-28 06:06:30,4.8845,-1.7554,75.33,92,100,4.12
162,Bontang,ID,2022-06-28 06:06:30,0.1333,117.5,85.12,71,71,7.25
163,Yuyao,CN,2022-06-28 06:06:30,30.05,121.1494,96.76,47,100,8.01
164,Mbuji-Mayi,CD,2022-06-28 06:01:59,-6.15,23.6,71.4,42,43,9.78
165,Windhoek,NA,2022-06-28 06:03:59,-22.5594,17.0832,46.11,74,8,8.99
166,Wanning,CN,2022-06-28 06:06:31,18.8003,110.3967,91.35,61,15,13.65
167,Mach,PK,2022-06-28 06:06:31,29.8637,67.3298,100.45,14,13,6.98
168,Bumba,CD,2022-06-28 06:06:31,2.1833,22.4667,72.81,91,100,4.0
169,Mayo,US,2022-06-28 06:06:32,38.8876,-76.5119,73.35,61,0,12.66
170,Katsuura,JP,2022-06-28 06:06:32,35.1333,140.3,80.91,76,95,18.12
171,Qaanaaq,GL,2022-06-28 06:06:32,77.484,-69.3632,40.95,72,14,1.9
172,Tasiilaq,GL,2022-06-28 06:06:32,65.6145,-37.6368,39.36,74,39,4.72
173,La Ronge,CA,2022-06-28 06:06:33,55.1001,-105.2842,45.99,66,50,4.81
174,Lalmohan,BD,2022-06-28 06:06:33,22.3384,90.7419,86.47,71,97,14.0
175,Hoi An,VN,2022-06-28 06:06:33,15.8794,108.335,94.96,56,99,10.78
176,Zaranj,AF,2022-06-28 06:02:17,30.9667,61.8833,107.56,7,0,9.28
177,Kyra,RU,2022-06-28 06:06:34,49.5776,111.9753,85.98,33,2,5.28
178,Mandalgovi,MN,2022-06-28 06:06:34,45.7625,106.2708,77.63,29,23,0.74
179,Marsa Matruh,EG,2022-06-28 06:06:34,31.3525,27.2453,79.36,61,0,17.56
180,Verkh-Tula,RU,2022-06-28 06:06:35,54.8839,82.7762,64.18,63,75,15.66
181,Sao Filipe,CV,2022-06-28 06:07:35,14.8961,-24.4956,73.33,80,40,10.27
182,Saint George,US,2022-06-28 06:07:35,37.1041,-113.5841,88.39,25,0,3.44
183,Mar Del Plata,AR,2022-06-28 06:07:36,-38.0023,-57.5575,47.08,69,0,3.44
184,Bethel,US,2022-06-28 06:07:36,41.3712,-73.414,64.27,81,0,0.0
185,Puerto Ayacucho,VE,2022-06-28 06:07:36,5.6639,-67.6236,72.77,94,100,3.53
186,Nizwa,OM,2022-06-28 06:07:37,22.9333,57.5333,94.71,38,21,8.03
187,Srednekolymsk,RU,2022-06-28 06:07:37,67.45,153.6833,66.27,43,100,3.85
188,Aksarka,RU,2022-06-28 06:07:37,66.5606,67.7975,55.27,50,100,30.22
189,Henties Bay,NA,2022-06-28 06:07:37,-22.116,14.2845,70.75,39,0,20.92
190,Kendal,GB,2022-06-28 06:06:01,54.3268,-2.7476,57.11,82,100,6.85
191,Talnakh,RU,2022-06-28 06:04:58,69.4865,88.3972,65.21,29,45,3.85
192,Avarua,CK,2022-06-28 06:07:38,-21.2078,-159.775,75.25,94,75,18.41
193,Khatanga,RU,2022-06-28 06:07:38,71.9667,102.5,56.73,36,9,5.77
194,Inuvik,CA,2022-06-28 06:07:38,68.3499,-133.7218,67.5,49,100,8.75
195,Vestmanna,FO,2022-06-28 06:07:39,62.1564,-7.1664,49.12,93,75,17.27
196,Huarmey,PE,2022-06-28 06:07:39,-10.0681,-78.1522,62.15,88,45,9.26
197,Waverly,US,2022-06-28 06:06:25,42.7392,-84.6208,51.94,84,0,0.0
198,Dunedin,NZ,2022-06-28 06:06:54,-45.8742,170.5036,43.81,82,85,1.99
199,Ratnagiri,IN,2022-06-28 06:07:40,16.9833,73.3,83.71,78,93,12.12
200,Talara,PE,2022-06-28 06:07:40,-4.5772,-81.2719,63.1,85,4,13.06
201,Port Hedland,AU,2022-06-28 06:07:40,-20.3167,118.5667,80.65,22,0,14.97
202,Kaitangata,NZ,2022-06-28 06:07:40,-46.2817,169.8464,42.53,86,75,3.69
203,Port-Gentil,GA,2022-06-28 06:03:25,-0.7193,8.7815,71.96,89,95,12.37
204,Richards Bay,ZA,2022-06-28 06:07:41,-28.783,32.0377,61.45,72,53,3.38
205,Maralal,KE,2022-06-28 06:07:41,1.0968,36.698,61.95,60,49,6.13
206,Shangrao,CN,2022-06-28 06:07:41,28.4532,117.9686,92.68,60,100,8.12
207,Ueckermunde,DE,2022-06-28 06:07:42,53.7379,14.0447,68.56,93,100,11.59
208,Alyangula,AU,2022-06-28 06:07:42,-13.8483,136.4192,76.51,82,95,16.55
209,Debre Sina,ET,2022-06-28 06:07:42,9.85,39.7667,63.86,52,85,1.68
210,Okhotsk,RU,2022-06-28 06:07:42,59.3833,143.3,52.59,87,48,13.4
211,Pucallpa,PE,2022-06-28 06:07:43,-8.3791,-74.5539,69.28,77,1,1.5
212,Price,US,2022-06-28 06:07:36,39.5994,-110.8107,68.11,36,0,8.05
213,Evensk,RU,2022-06-28 06:07:43,61.95,159.2333,50.97,83,44,10.51
214,Harindanga,IN,2022-06-28 06:07:43,22.0383,88.3214,91.76,56,81,13.44
215,Starosubkhangulovo,RU,2022-06-28 06:07:44,53.1031,57.4423,60.48,51,69,9.44
216,Ust-Maya,RU,2022-06-28 06:07:44,60.4167,134.5333,77.9,49,87,7.7
217,Vanimo,PG,2022-06-28 06:07:44,-2.6741,141.3028,83.93,68,100,9.82
218,Flinders,AU,2022-06-28 06:07:45,-34.5833,150.8552,61.18,64,75,4.0
219,Road Town,VG,2022-06-28 06:07:45,18.4167,-64.6167,80.69,75,99,18.99
220,Uyuni,BO,2022-06-28 06:07:45,-20.4597,-66.825,34.72,64,20,9.19
